name,main_city,jurisdiction,population,latitude,longitude,ba_distance,feb_precip_mm,feb_rainy_days_rate,feb_very_rainy_days_rate,feb_p5_temp_c,feb_p50_temp_c,feb_p95_temp_c,feb_avg_wind_speed_ms,feb_p95_wind_speed_ms,feb_windy_days_rate,feb_very_windy_days_rate,feb_wind_gust_days_rate
San Rafael,San Rafael,Mendoza,139191,-34.6126025,-68.330514,906.8827806993157,0.8052070873871416,0.13010370595554516,0.056900394026310724,4.083551494216075,14.762531296699596,25.565789367110344,2.064041771063678,4.194020539601401,0.012545237897077633,0.00018134596649036603,0.0
Tandil,Tandil,Buenos Aires,138549,-37.3282887,-59.1356957,307.29398195141715,2.4830491903371166,0.21968494721939616,0.15177701044265846,5.096872404074665,14.120924224110297,23.912073071378714,3.339101836834502,5.948571136492487,0.08415309925525562,0.004808276202190897,5.927605755731534e-05
San Carlos de Bariloche,San Carlos de Bariloche,Río Negro,134978,-41.1334781,-71.3101474,1341.5044722751709,3.1815390093165297,0.18987596190927528,0.15530171522513422,-1.1435976116043176,5.579418666635035,15.618886242674844,2.0059445648861485,3.7101823864285506,0.003787736261622299,0.0,0.0
Gran Santa Rosa,Gran Santa Rosa,La Pampa,132887,-36.6221852,-64.29236,574.9617076064068,1.8576297189712119,0.22268306501101656,0.12281309718221485,6.004935053748076,15.855461846223854,26.31896364603759,2.6974711828583797,4.874982507453022,0.01761741191493735,0.0004071066062831805,0.0
Villa Mercedes,Villa Mercedes,San Luis,132076,-33.6866361,-65.4954266,658.7974438779919,1.7935069515666016,0.1753145733854695,0.11599796168203523,6.4385349435319625,16.72902541495022,26.358039592758526,2.756920424932416,5.217000257605708,0.03852379993884477,0.0012477149286925764,3.196625023923129e-05
Villa María-Villa Nueva,Villa María,Córdoba,121939,-32.4106245,-63.2435809,509.0470763642555,2.2923892622098574,0.1719861956387834,0.12869246091572856,7.878430314433728,18.19502585173459,26.760843653258902,2.5435873453158555,4.798050404123588,0.018607802069984997,6.314690535309144e-05,0.0
Río Gallegos,Río Gallegos,Santa Cruz,115524,-51.6215268,-69.2150374,2077.5255017438676,,,,0.5056466180261517,8.06272348265358,15.467632637976182,5.677241126366159,10.847932193945173,0.4833514135835172,0.20008060706962064,0.05319958872645959
Zárate,Zárate,Buenos Aires,114905,-34.0954713,-59.0245097,79.12343028791035,2.8643991378287414,0.19736643833803183,0.15577195925078083,8.087816643854605,17.829853185827865,26.80133774068154,2.9250900137116442,5.2188869674620335,0.038569719438717974,0.0008748897968743685,0.0
Reconquista-Avellaneda,Reconquista,Santa Fe,111396,-29.1443478,-59.6437728,617.4913206118631,3.0921684002252223,0.180696751097221,0.15492576325169904,10.184475659464404,20.964526843753323,28.787636028571395,3.0020876988108847,5.300574761642164,0.039321968949320926,2.1601904782271585e-05,0.0
San Martín-La Colonia,San Martín,Mendoza,105497,-33.0805336,-68.4710695,943.6005764518416,0.6067002054913624,0.09026321596014275,0.04400636641381529,5.290014425009126,16.3201425723974,26.782549202145372,1.8532243913042339,4.117465759006287,0.02276003392924298,0.0002885068855587965,0.0
Trelew,Trelew,Chubut,104657,-43.2531242,-65.3094407,1127.7635224331905,0.4994448766157936,0.15643719591347735,0.017331226371326672,4.8969336154346506,14.414716492347798,24.80539051422093,4.15526322298177,7.712407378724456,0.24855134087016237,0.02919940561153633,0.0007877117924819457
Campana,Campana,Buenos Aires,104235,-34.1636631,-58.9586837,69.45136593805705,2.845098965654011,0.19786891914388108,0.15500839299669933,8.073706976619604,17.796240967535383,26.76227343159087,2.9462275394050823,5.2595002189113345,0.040284313243266874,0.0009738982161594965,0.0
Olavarría,Olavarría,Buenos Aires,102907,-36.8938752,-60.3231676,304.70396636636553,2.5500873364130303,0.2208455925005961,0.15098791807504813,5.355483991311486,14.816972854278385,24.771360896210332,3.2001911316875633,5.624454468664327,0.059481391936391126,0.0017718154152901982,0.0
General Roca,General Roca,Río Negro,102750,-39.0268342,-67.5754674,950.0571256533658,0.48742888792331324,0.14454880237758722,0.020142552129116892,5.06157435773612,15.350537719467052,26.48496386626185,3.5147447362234514,6.944367588405528,0.14822290401053223,0.013409121974732095,0.00043999926003044157
Pergamino,Pergamino,Buenos Aires,102182,-33.897495,-60.575046,212.38154772688063,2.7719013844889244,0.19227535612071503,0.15044547915232964,7.532459344194367,17.495025364399936,26.33682646379787,3.0462821756180314,5.366776271802242,0.04382919802915506,0.0004378354856744691,0.0
Rafaela,Rafaela,Santa Fe,101470,-31.2526923,-61.4916758,469.8209817152194,2.664905871985917,0.16274703841782923,0.1361818705607285,8.696911881856158,19.339143848934416,27.593142303482686,2.9806423490356266,5.32612904424468,0.04155004827881021,7.34154775669743e-05,0.0
Luján,Luján,Buenos Aires,100541,-34.5661734,-59.1152598,62.35933637273167,2.951231542386115,0.19951828215976955,0.1562941112829111,7.692135607753024,17.415643225357787,26.456900903504582,2.9880141217855525,5.3218896227490955,0.04127080910921416,0.0008788174121332567,0.0
Gualeguaychú-Pueblo General Belgrano,Gualeguaychú,Entre Ríos,98174,-33.0078908,-58.5109859,178.65674944993918,3.0572847487427706,0.1978560228033737,0.16140567083743262,8.292868999483803,18.451629186445462,27.059775947121516,2.978323808868941,5.35103143435662,0.04152482290159294,0.0005311773358419327,0.0
Puerto Madryn,Puerto Madryn,Chubut,97625,-42.7673414,-65.0365942,1070.6446782256533,0.5056494976765593,0.15883269901514555,0.017755363669014545,5.137198005826344,14.560309137917026,24.77377981306409,4.213529055097088,7.76771345672866,0.25750374425689715,0.030805255264988108,0.0013978518468336968
Río Grande,Río Grande,Tierra del Fuego,97611,-53.7858275,-67.7018562,2250.4435334825425,,,,0.9875172671263448,6.7546131388673025,11.931752074986871,6.794826755894583,11.600041814485257,0.6381600494834608,0.3373706992798432,0.11222227036801082
Presidencia Roque Sáenz Peña,Presidencia Roque Sáenz Peña,Chaco,96866,-26.7909093,-60.4410391,888.5808834831008,2.713172258848605,0.15859975796068368,0.1336133049998887,11.124773744126479,22.695256772442235,30.81671193364564,2.910981377821481,5.135289610301054,0.030567190812861973,0.0001280215224073904,0.0
Junín,Junín,Buenos Aires,95385,-34.5934412,-60.9461678,230.03743592316673,2.764247978172103,0.19550519479189638,0.1480122791199855,7.222425187290616,17.13767772179173,25.986987233087845,3.0676901153416916,5.390997132536973,0.04394788442029814,0.0003029183678583999,0.0
Necochea-Quequén,Necochea,Buenos Aires,94057,-38.5545494,-58.7392624,437.72894965796723,2.4398816078122345,0.23151756584604824,0.15888854907440386,6.575729343829602,14.216408204796581,23.63056110677056,4.047453488622547,7.2580856227259005,0.21913007965277118,0.02556157173726406,0.003362198217403747
Goya,Goya,Corrientes,88949,-29.1444046,-59.2649825,611.8894684454916,3.1472919468920986,0.18625026219852417,0.159884392179923,10.283817854429644,20.98994080790688,28.708588543132144,3.028790378358273,5.371599955956663,0.04331345673743547,0.00023331009857351667,0.0
San Ramón de la Nueva Orán,San Ramón de la Nueva Orán,Salta,88867,-23.1286284,-64.3214309,1395.9580228732484,2.273724662897959,0.19043872478768858,0.13782490506347136,10.625838468789258,19.886396311374398,26.26399970120584,0.8254538085339428,1.771076929525795,0.0,0.0,0.0
Tartagal,Tartagal,Salta,88095,-22.5194493,-63.7986328,1439.0634564373051,2.6024337896728236,0.1928440545101534,0.1448723818318086,12.229132632399232,22.166906175039095,29.04217255888935,1.258667418442392,2.748060535342874,0.00033192242747514064,0.0,0.0
Concepción del Uruguay,Concepción del Uruguay,Entre Ríos,85560,-32.0270976,-60.5620134,348.74498734593476,2.8651287258576037,0.17450889088737284,0.14228791636740262,8.909184517930337,19.13537417110177,27.46594449968284,2.8293797721452663,5.061726898318152,0.028195091816722126,0.0,0.0
Tafí Viejo,Tafí Viejo,Tucumán,85043,-26.7343146,-65.259223,1090.643530699535,2.7230357894119126,0.16353197662580615,0.13133312258968702,7.259166733833544,16.68071772969419,23.557435120889064,0.8964927891107555,1.8756154619131014,1.6266202616551778e-06,0.0,0.0
Villa Carlos Paz-San Antonio de Arredondo-Villa Río Icho Cruz,Villa Carlos Paz,Córdoba,83438,-31.4183774,-64.4936985,667.611284236362,1.677728660078751,0.13552978228440515,0.09852280248277627,5.470095380766704,15.543817731843436,23.43723966576973,1.8422522532536643,3.7414823278892486,0.0026834796489328748,0.0,0.0
Viedma-Carmen de Patagones,Viedma,Río Negro,83326,-40.8084274,-62.994722,795.6775154103852,1.0339033078176871,0.20430764594919948,0.0653196494505178,5.472172128267967,14.289465823050408,24.616398583231344,3.6364669760758153,6.4943393414205355,0.1466680204364892,0.007164799609873472,0.0005060958524221985
Mar de Ajó-Santa Teresita-Mar del Tuyú,Mar de Ajó,Buenos Aires,83016,-36.7212921,-56.6776091,282.65472545576233,2.660570894866153,0.21318458300262802,0.15849091926327666,8.406025645834553,15.812727560193562,23.553611351578017,4.94876892168766,8.71048471112633,0.3866975704620576,0.09606352122067388,0.016768026559055727
Venado Tuerto,Venado Tuerto,Santa Fe,81966,-33.7456906,-61.9690915,339.52930749500575,2.53172712302605,0.18707430533638728,0.14461233179296554,7.5633841193254225,17.584483686288923,26.349358442028567,3.103831519803014,5.5208321805491485,0.0517381665753738,0.00037177092751346854,0.0
San Francisco-Frontera,San Francisco,Córdoba,79689,-31.4249815,-62.0840299,491.22322149852016,2.483728523885479,0.15879106384956923,0.13129947169026576,8.809777607636908,19.282146308304025,27.576327298336885,2.9472992542703227,5.271068134930818,0.03908390977903198,0.00024471350903466145,0.0
Ushuaia,Ushuaia,Tierra del Fuego,79409,-54.807306,-68.3084133,2370.5732694770727,,,,-2.9834279686110126,3.5078215720595267,9.567720974626233,2.746768014784143,4.802378553955998,0.057385338721970464,0.002816128032063002,1.622853442205798e-05
San Pedro-La Esperanza,San Pedro,Jujuy,77116,-24.2689397,-65.2208582,1321.5050558183398,2.251416674105497,0.1653454985205585,0.12931967014897822,6.146054762069062,13.883934982055953,19.201891882912314,0.7226553979846698,1.5263553732767652,4.616877852246588e-05,3.027460886719074e-06,0.0
Oberá,Oberá,Misiones,75456,-27.4849798,-55.1202965,851.687270182531,5.307381896461713,0.2559361296286731,0.22773565595187933,11.310693360757957,21.69736920377267,27.751452711183855,2.199538459675182,3.9000021583452416,0.000955251780585213,0.0,0.0
Eldorado,Eldorado,Misiones,68722,-26.4048555,-54.6262079,980.9999685136673,5.269274503254106,0.27356495190888336,0.23973189009334558,12.028903956940697,22.0449740398561,27.46899136694533,2.033371251357639,3.62441004000234,0.00034276630156423234,0.0,0.0
Mercedes,Mercedes,Buenos Aires,67252,-34.6506717,-59.4317202,91.15937969436781,3.054234368585946,0.19980077749961184,0.15910638413319006,7.496257608036331,17.23666901819302,26.31040849333456,3.0093782695115525,5.3426636848663565,0.041468216998514836,0.0007347541076493426,0.0
General Pico,General Pico,La Pampa,66805,-35.6591085,-63.7576103,498.28001885556966,2.1588883702208705,0.2127639426072676,0.13197322455967755,6.592760582504604,16.455367149412577,26.342300944133335,2.7963869377987014,5.10105247690589,0.027453812929824274,0.00024518157020033885,0.0
Chivilcoy,Chivilcoy,Buenos Aires,65575,-34.8969591,-60.0190499,148.00732525615427,2.9927971749732314,0.2022870897598789,0.1579083388836487,7.168048406846294,16.96739681859208,26.0604790681217,3.0539877764964323,5.3857261412612525,0.0433312484281911,0.0006770973350793059,0.0
Azul,Azul,Buenos Aires,64886,-36.777492,-59.863442,272.15791799327275,2.658480160447701,0.21606374529618427,0.15317103590790512,5.558103136260472,14.947209846034315,24.802327675870156,3.1502182381865094,5.563570290651126,0.054435287471821414,0.0020875841651463375,0.0
Concepción-Arcadia-Alto Verde ,Concepción,Tucumán,64844,-27.3459249,-65.5927221,1056.1816600932916,2.6420231835962418,0.1536885509758978,0.12253964737130174,6.846509353432329,16.357218349187583,23.24927311872301,0.7796179078944053,1.624271703097235,0.0,0.0,0.0
Punta Alta ,Punta Alta ,Buenos Aires,64244,-38.8804693,-62.0744033,573.6732695003923,1.7120526703371113,0.2263259071892951,0.1195806072305685,5.906955413145476,15.163992314861694,25.59034241016619,4.0992267026228655,7.3896405122775635,0.23713498909532335,0.01739373083966011,0.0007269998765508304
Jesús María-Colonia Caroya-Sinsacate,Jesús María,Córdoba,63080,-30.9764132,-64.0957082,666.0113939163977,1.8604104038171796,0.1401016330153057,0.10559839983207253,7.037841498106916,17.274965344919444,25.470418275655927,2.3288761411868104,4.54533480912027,0.016491292309957887,5.7071410762630415e-05,0.0
Alta Gracia,Alta Gracia,Córdoba,60162,-31.6578916,-64.4338563,648.4241520418527,1.742587528115494,0.1421943077058665,0.10252714268810752,5.466340883917922,15.490856060912812,23.43110817140777,1.7507121892803157,3.570717938723745,0.0019318783467801278,0.0,0.0
Perico,Perico,Jujuy,56629,-24.3761853,-65.1181555,1306.1120552994569,2.131509649671966,0.16140262304879469,0.12457195251384146,7.362169734420259,15.685861576650774,21.396152643887007,0.7000144559669486,1.3934802632301453,0.0,0.0,0.0
Clorinda,Clorinda,Formosa,56528,-25.2900303,-57.7125898,1036.331262061811,3.672276132397952,0.2094028771410306,0.18263386097138637,12.678650495268586,24.01958838054544,30.390742818954447,3.113255412573427,5.714617893766819,0.06563370166554941,0.0008611819008046366,0.0
San Pedro,San Pedro,Buenos Aires,56471,-33.6760716,-59.6629342,153.81210874050703,2.95322297062784,0.19169433395936342,0.1566572337552284,8.156324624729294,18.024645210456317,26.977489825854608,2.793096872407506,4.943677950413499,0.02687015269727674,0.00021764244408327017,0.0
Caleta Olivia,Caleta Olivia,Santa Cruz,56310,-46.442117,-67.5175069,1519.441728874588,0.6280288199722592,0.1716326168870156,0.029439027705024854,4.103940330420632,12.381843116126383,20.555426518137093,5.229231102920405,9.953151647691238,0.43934760780166526,0.15561212724783727,0.023954289372482306
Cutral Có-Plaza Huincul,Cutral Có,Neuquén,56225,-38.9378831,-69.2293743,1075.0314416499684,0.3153313856325011,0.09680600391579432,0.009605610650656059,2.499063932701022,13.095369993582116,24.424017115101208,2.9558980450091434,6.562972710442259,0.10572881057844134,0.011936088026487757,0.000481205226894114
Puerto Iguazú,Puerto Iguazú,Misiones,53786,-25.6107508,-54.5764199,1065.2832891491446,4.997544885450198,0.2709148096214532,0.2305074756991886,13.173471292030207,23.007523885955486,28.149703121639718,2.199539373640161,3.9391472493377133,0.001427997832703195,0.0,0.0
Río Tercero,Río Tercero,Córdoba,52977,-32.1767655,-64.1129881,593.1416852786401,2.033980278465446,0.16549616862456215,0.11913697180030412,6.692030414450242,16.79493914071723,25.090301028609524,2.102583911315127,4.223569087412352,0.010456803077999302,3.1269674711437574e-05,0.0
Cosquín-Santa María de Punilla-Bialet Massé,Cosquín,Córdoba,52321,-31.2436548,-64.4657395,676.3766685220783,1.704024821935259,0.13496709852426975,0.09890890564540068,5.885281444053576,16.034361761973113,23.99664302222052,1.994437455553209,3.959913905182851,0.004694179604253197,0.0,0.0
Villa Constitución,Villa Constitución,Santa Fe,52204,-33.227206,-60.3298225,233.16558202562578,2.789298027103526,0.18460811720245907,0.14785383229646706,8.302510743117406,18.348197529932342,27.058382164331487,2.7554273550972703,4.898252305636696,0.024306286560048417,0.0001858427232449582,0.0
Tres Arroyos,Tres Arroyos,Buenos Aires,52199,-38.3770014,-60.2755685,448.46096127040653,2.0795819654656924,0.23427161096758928,0.14298871890572076,5.234531486470558,14.207468165457989,24.778700740671272,3.654675934810734,6.563571143475154,0.15190230645316288,0.005787567382608365,7.304558381164806e-05
Paso de los Libres,Paso de los Libres,Corrientes,51442,-29.7136574,-57.0861369,558.5189190834257,3.956245453464761,0.21552280042522506,0.1856393324303779,10.192726117567812,20.892312655300593,28.306340690161907,3.1845778955398627,5.534330672611983,0.0538278484369775,0.00042246578185717743,0.0
Villa Dolores-Villa Sarmiento-San Pedro-Villa de las Rosas,Villa Dolores,Córdoba,50688,-31.9449632,-65.1902298,695.0996047735266,1.6632637454963333,0.1342866666568986,0.09805680206489413,7.169015041975015,18.231566695696525,27.058027298746463,1.2198973248833425,2.9487476926625718,0.0016491785015134229,2.803414222112827e-07,0.0
Libertador General San Martín,Libertador General San Martín,Jujuy,47209,-23.8093358,-64.7921741,1347.066859298163,2.2836787980454685,0.17430131845043995,0.13223573117671314,7.128821448868601,15.226560807702086,20.735135901300964,0.7774698097570499,1.633546706416186,0.0,0.0,0.0
Villa Angela,Villa Angela,Chaco,46850,-27.5768225,-60.7112067,810.0887110307195,2.8528552657474173,0.15708390929168822,0.13455015553418012,10.823725326436463,22.30814273966788,30.556508993281238,3.149470806508746,5.53070471762919,0.05067201562409166,0.00031106669305130735,0.0
Chacabuco,Chacabuco,Buenos Aires,46440,-34.6297043,-60.470185,186.33010488715203,2.8723443595938205,0.19919877058031185,0.1530729847317141,7.236952284012524,17.124442440381166,26.052084279760706,3.0699183709448175,5.398368751130246,0.044604477035282274,0.0004563973308060145,0.0
Esperanza,Esperanza,Santa Fe,45433,-31.448994,-60.9304048,421.4781653218985,2.7659348956100183,0.1690015831829795,0.14000852365930816,8.868603602427294,19.381363491627972,27.66451610965435,2.8639791925658313,5.15194603348853,0.033081745453026154,0.0,0.0
